signal_id,timestamp,direction,signal_state,outcome,btc_price,confidence,entry_zone_low,entry_zone_high,stop_loss,target_1,target_2,risk_reward_ratio,setup_type,market_bias,whale_direction,liquidity_direction,pnl_percent,outcome_notes,status
fbeb78cf-b069-478a-a79b-17dd7f171d94,2026-03-14T20:59:28.855000,SHORT,SETUP_IN_CONFIRMATION,,70851.1,45.0,70851.1,70787.1,71414.8,70200.0,68971.6,1.16,sweep_reversal,BEARISH,NEUTRAL,UP,,,confirmed
98dfcdb6-5754-4706-b521-94a44a673645,2026-03-14T20:35:29.121000,NO TRADE,NO_TRADE,,70763.8,60.0,70056.16,71471.44,0.0,0.0,0.0,0.0,standard,NEUTRAL,SELL,UP,,,invalidated
3144a121-2b15-4e92-8077-1ce4085b7849,2026-03-14T20:34:28.463000,SHORT,OPERATIONAL,,70763.8,45.0,70763.8,70754.01,70892.7,70200.0,68971.6,4.37,sweep_reversal,BEARISH,SELL,UP,,,invalidated
e71f961f-5425-441a-8fd9-7929e3594290,2026-03-14T20:34:28.084000,SHORT,SETUP_IN_CONFIRMATION,,70763.8,45.0,70763.8,70754.01,70892.7,70200.0,68971.6,4.37,sweep_reversal,BEARISH,SELL,UP,,,confirmed
cbcf8a36-5977-4404-be51-909a34ee7891,2026-03-14T20:32:28.595000,NO TRADE,NO_TRADE,,70763.8,50.0,70056.16,71471.44,0.0,0.0,0.0,0.0,standard,NEUTRAL,SELL,UP,,,invalidated
a771dd9f-283c-4cbe-a288-4174f6f4900e,2026-03-14T20:31:28.265000,SHORT,OPERATIONAL,,70763.8,53.7,70763.8,70748.69,71414.8,70200.0,68971.6,0.87,sweep_reversal,BEARISH,SELL,UP,,,invalidated
a7d59aae-0b82-4e40-b7bc-1dcb5467ad2a,2026-03-14T20:31:28.002000,SHORT,SETUP_IN_CONFIRMATION,,70763.8,53.7,70763.8,70748.69,71414.8,70200.0,68971.6,0.87,sweep_reversal,BEARISH,SELL,UP,,,confirmed
1641b42d-17ca-45a8-8fa4-b30ce4847b03,2026-03-14T20:17:12.398000,NO TRADE,NO_TRADE,,70709.9,55.0,70002.8,71417.0,0.0,0.0,0.0,0.0,standard,NEUTRAL,NEUTRAL,UP,,,invalidated
e869307a-4b95-49a8-ae01-e702fff8b679,2026-03-14T20:16:13.357000,SHORT,OPERATIONAL,,70704.2,45.0,70704.2,70705.0,71289.88,70200.0,68971.6,0.86,sweep_reversal,BEARISH,SELL,UP,,,invalidated
e664ba49-e436-4017-a3f1-efd80fa99f5c,2026-03-14T20:16:13.098000,SHORT,SETUP_IN_CONFIRMATION,,70704.2,45.0,70704.2,70705.0,71289.88,70200.0,68971.6,0.86,sweep_reversal,BEARISH,SELL,UP,,,confirmed
8e7d1dd1-f744-42d2-88c7-89d56977274a,2026-03-14T20:05:22.089000,NO TRADE,NO_TRADE,,70689.9,50.0,69983.0,71396.8,0.0,0.0,0.0,0.0,sweep_reversal,BEARISH,SELL,UP,,,invalidated
2e9b85ff-3eac-4c8f-810b-3ec5962c730f,2026-03-14T20:04:22.822000,SHORT,OPERATIONAL,,70711.1,63.7,70711.1,70684.45,71289.88,70200.0,68971.6,0.88,sweep_reversal,BEARISH,SELL,UP,,,invalidated
6488dbc7-f234-462a-b6a1-3b3934cd84e4,2026-03-14T20:04:22.108000,SHORT,SETUP_IN_CONFIRMATION,,70711.1,63.7,70711.1,70684.45,71289.88,70200.0,68971.6,0.88,sweep_reversal,BEARISH,SELL,UP,,,confirmed
d1453379-e762-4231-a1a5-dd2fd5e3a5d2,2026-03-14T20:03:23.016000,NO TRADE,NO_TRADE,,70711.1,50.0,70003.99,71418.21,0.0,0.0,0.0,0.0,sweep_reversal,BEARISH,NEUTRAL,UP,,,invalidated
52413b27-8d87-453c-aed1-7afb530fe03b,2026-03-14T20:02:22.424000,SHORT,OPERATIONAL,,70715.9,54.6,70715.9,70701.97,71289.88,70200.0,68971.6,0.9,sweep_reversal,BEARISH,SELL,UP,,,invalidated
ea50310e-7704-49b8-8fa6-80b8efaf016a,2026-03-14T20:02:22.167000,SHORT,SETUP_IN_CONFIRMATION,,70715.9,54.6,70715.9,70701.97,71289.88,70200.0,68971.6,0.9,sweep_reversal,BEARISH,SELL,UP,,,confirmed
7c3c1b91-9ce1-4b8d-8eaa-3bb03d6d0aa3,2026-03-14T20:00:35.106000,NO TRADE,NO_TRADE,,70716.0,60.0,70008.84,71423.16,0.0,0.0,0.0,0.0,standard,NEUTRAL,SELL,UP,,,setup_invalidated
79071ba5-e009-42a1-8c9b-7c9553a25dbb,2026-03-14T20:00:34.651000,SHORT,SETUP_IN_CONFIRMATION,,70716.0,52.9,70716.0,70711.0,71289.88,70200.0,68971.6,0.9,sweep_reversal,BEARISH,NEUTRAL,UP,,,setup_invalidated
f88888e5-c37a-4103-ab7b-3ad14ca8dd75,2026-03-14T19:59:24.423000,NO TRADE,NO_TRADE,,70716.0,45.0,70008.84,71423.16,0.0,0.0,0.0,0.0,sweep_reversal,BEARISH,BUY,UP,,,invalidated
c9fc9e02-735c-4c8a-aaf2-5e9cbbbadc69,2026-03-14T19:58:05.366000,SHORT,OPERATIONAL,,70716.0,54.6,70716.0,70702.0,71289.88,70200.0,68971.6,0.9,sweep_reversal,BEARISH,SELL,UP,,,invalidated
